,Unnamed: 0,Tweets,Angry,Fear,Happy,Sad,Surprise
35,35,"RT @Kaushal_rebel: #RadheShyam hindi on Netflix from May 4!

#Prabhas https://t.co/EEUBG0ESZj",0.0,1.0,0.0,0.0,0.0
36,36,"In May 2022, all movies and TV shows will be available on Netflix https://t.co/rXw3JNKJX2",0.0,1.0,0.0,0.0,0.0
37,37,35; Juaal Netflix Disney Anti Hold We TV Trusted #jualnetflix https://t.co/0j4cLsXnhx,0.0,1.0,0.0,0.0,0.0
38,38,"RT @Udanshi27: Work, flex, save, sleep, eat, Netflix and chill.

Soft life.",0.0,1.0,0.0,0.0,0.0
39,39,"RT @urstanaysuriya: #RadheShyam (Hindi) will be Streaming On NETFLIX from May3rd 🤩

#Prabhas #PoojaHegde https://t.co/NmFEXrkG1a",0.0,0.0,0.0,0.0,0.0
40,40,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…",0.0,0.4,0.4,0.2,0.0
41,41,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…",0.33,0.0,0.0,0.33,0.33
42,42,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…",0.33,0.0,0.0,0.33,0.33
43,43,RT @AshleyShyMiller: Y'all remember that documentary on Netflix about the little girl who got adducted by the neighbor and he was fucking t…,0.0,0.0,0.5,0.0,0.5
44,44,RT @PopCrave: #Heartstopper becomes one of Netflix’s most critically-acclaimed shows ever with a score of 100% on @RottenTomatoes. https://…,0.5,0.0,0.0,0.0,0.5
45,45,"RT @MichKatami: Here is @dhanushkraja first look for #TheGrayMan. The movie will be out on July 22 on Netflix, 17th July in theatres. @AGBO…",0.0,0.0,0.0,0.0,1.0
46,46,RT @kit_connor: I can’t wait any longer,0.0,0.0,0.0,0.0,1.0
47,47,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…",0.0,0.4,0.4,0.2,0.0
48,48,RT @hodgetwins: So is it ok for me to say Only women can get pregnant. Someone tell Netflix https://t.co/y4UveeeHyZ,0.0,0.0,0.0,0.5,0.5
49,49,"RT @AxeInovich: @madorni Por suerte Spotify, YouTube, Netflix, HBO, etc etc etc son todas cooperativas.",0.0,0.0,0.0,0.0,0.0
50,50,"@WatchChad Maybe that will be picked up by @netflix after ""hes expecting""",0.0,0.0,1.0,0.0,0.0
51,51,"RT @Heartstopper_TV: THEY'RE THE MOMENT!!

Heartstopper is now officially certified fresh on rotten tomatoes with 100% critics score, being…",0.5,0.5,0.0,0.0,0.0
52,52,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…",0.0,0.4,0.4,0.2,0.0
53,53,RT @dhanushkraja: The gray man  #TheGrayMan @NetflixFilm July 22nd on Netflix @Russo_Brothers https://t.co/yAXte77C2G,0.0,1.0,0.0,0.0,0.0
54,54,"RT @UrsVamsiShekar: Here's The First Look of @dhanushkraja from @NetflixFilm's #TheGrayMan 💥

Directed by @Russo_Brothers,
Releasing on Net…",0.0,0.0,0.0,0.0,1.0
55,55,"RT @vamsikaka: The First Look of @dhanushkraja from @NetflixFilm's #TheGrayMan Directed by @Russo_Brothers Releases on Netflix, July 22nd h…",0.0,0.5,0.0,0.0,0.5
56,56,"RT @IngrahamAngle: Netflix losing subscribers.
CNN+ shuts down.
Disney stock value dropping.
Twitter takeover by Musk.

Just the beginning?",0.33,0.33,0.0,0.33,0.0
57,57,RT @rosealinaof: Te paso a buscar y vemos Pokémon en Netflix? 😈😍 RT https://t.co/TWHhIwYnhI,0.0,0.0,0.0,0.0,0.0
58,58,"RT @gthricv: THE FIRST LOOK OF #DHANUSH IN THE GRAY MAN IS HERE .
Starring @ChrisEvans ,@dhanushkraja @RyanGosling
@regejean #AnaDeArmas…",0.0,0.5,0.0,0.0,0.5
59,59,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…",0.0,0.4,0.4,0.2,0.0
60,60,"RT @Kaushal_rebel: #RadheShyam hindi on Netflix from May 4!

#Prabhas https://t.co/EEUBG0ESZj",0.0,1.0,0.0,0.0,0.0
61,61,Elon Musk Buys Twitter For $44 Billion &amp; Netflix Show “Old Enough” Divides Parents | The Daily Show https://t.co/qjr8uzABHW,0.0,0.5,0.0,0.5,0.0
62,62,"@markynuna 5k ready

halo!
aku jual app prem nih 🙀 ada netflix, disney, youtube, spotify, hbo go/max, wetv, viu, iqiyi, canva, scribd, vidio, grammarly, dll!

✔️ aman, legal, proses cepat, trusted 6000+ testi
💸 all e-wallet, qris, bca
💌 dm/wa : https://t.co/6uoOCTMZij https://t.co/Gkhi0Djqh1",0.0,1.0,0.0,0.0,0.0
63,63,The jokes that they tell in TV shows don’t be that funny to me. But I wish they still had “ The Carmichaels” on Netflix because It’s this one episode that I will literally never forget. I never laughed so hard,0.33,0.0,0.17,0.33,0.17
